datetime,count
2011-01-20 00:00:00,15.39
2011-01-20 01:00:00,6.04
2011-01-20 02:00:00,5.64
2011-01-20 03:00:00,3.7
2011-01-20 04:00:00,3.09
2011-01-20 05:00:00,17.24
2011-01-20 06:00:00,64.67
2011-01-20 07:00:00,183.34
2011-01-20 08:00:00,315.31
2011-01-20 09:00:00,152.94
2011-01-20 10:00:00,115.35
2011-01-20 11:00:00,102.11
2011-01-20 12:00:00,138.28
2011-01-20 13:00:00,106.2
2011-01-20 14:00:00,122.74
2011-01-20 15:00:00,126.07
2011-01-20 16:00:00,121.01
2011-01-20 17:00:00,235.68
2011-01-20 18:00:00,195.72
2011-01-20 19:00:00,194.57
2011-01-20 20:00:00,128.71
2011-01-20 21:00:00,71.4
2011-01-20 22:00:00,57.6
2011-01-20 23:00:00,34.69
2011-01-21 00:00:00,21.35
2011-01-21 01:00:00,6.97
2011-01-21 02:00:00,6.93
2011-01-21 03:00:00,2.85
2011-01-21 04:00:00,3.01
2011-01-21 05:00:00,9.31
2011-01-21 06:00:00,46.35
2011-01-21 07:00:00,173.93
2011-01-21 08:00:00,209.59
2011-01-21 09:00:00,168.86
2011-01-21 10:00:00,57.55
2011-01-21 11:00:00,69.41
2011-01-21 12:00:00,77.13
2011-01-21 13:00:00,76.53
2011-01-21 14:00:00,73.18
2011-01-21 15:00:00,78.49
2011-01-21 16:00:00,113.69
2011-01-21 17:00:00,178.3
2011-01-21 18:00:00,159.41
2011-01-21 19:00:00,149.04
2011-01-21 20:00:00,96.78
2011-01-21 21:00:00,51.01
2011-01-21 22:00:00,37.98
2011-01-21 23:00:00,25.21
2011-01-22 00:00:00,32.36
2011-01-22 01:00:00,26.16
2011-01-22 02:00:00,37.27
2011-01-22 03:00:00,16.77
2011-01-22 04:00:00,2.8
2011-01-22 06:00:00,5.5
2011-01-22 07:00:00,43.73
2011-01-22 08:00:00,76.03
2011-01-22 09:00:00,61.82
2011-01-22 10:00:00,99.02
2011-01-22 11:00:00,98.28
2011-01-22 12:00:00,106.24
2011-01-22 13:00:00,137.45
2011-01-22 14:00:00,141.29
2011-01-22 15:00:00,143.99
2011-01-22 16:00:00,119.41
2011-01-22 17:00:00,110.37
2011-01-22 18:00:00,74.41
2011-01-22 19:00:00,62.77
2011-01-22 20:00:00,57.33
2011-01-22 21:00:00,46.74
2011-01-22 22:00:00,39.55
2011-01-22 23:00:00,16.26
2011-01-23 00:00:00,28.26
2011-01-23 01:00:00,27.08
2011-01-23 02:00:00,24.9
2011-01-23 03:00:00,25.22
2011-01-23 05:00:00,4.93
2011-01-23 06:00:00,3.35
2011-01-23 07:00:00,13.48
2011-01-23 08:00:00,31.05
2011-01-23 09:00:00,63.59
2011-01-23 10:00:00,77.81
2011-01-23 11:00:00,133.18
2011-01-23 12:00:00,96.29
2011-01-23 13:00:00,131.39
2011-01-23 14:00:00,137.6
2011-01-23 15:00:00,136.75
2011-01-23 16:00:00,136.48
2011-01-23 17:00:00,110.98
2011-01-23 18:00:00,90.48
2011-01-23 19:00:00,81.11
2011-01-23 20:00:00,69.24
2011-01-23 21:00:00,46.43
2011-01-23 22:00:00,32.5
2011-01-23 23:00:00,18.68
2011-01-24 00:00:00,9.14
2011-01-24 01:00:00,5.81
2011-01-24 03:00:00,1.91
2011-01-24 04:00:00,2.16
2011-01-24 05:00:00,8.45
2011-01-24 06:00:00,47.32
2011-01-24 07:00:00,123.27
2011-01-24 08:00:00,278.55
2011-01-24 09:00:00,174.62
2011-01-24 10:00:00,61.43
2011-01-24 11:00:00,60.63
2011-01-24 12:00:00,70.5
2011-01-24 13:00:00,74.33
2011-01-24 14:00:00,69.58
2011-01-24 15:00:00,60.23
2011-01-24 16:00:00,101.67
2011-01-24 17:00:00,143.41
2011-01-24 18:00:00,128.21
2011-01-24 19:00:00,92.34
2011-01-24 20:00:00,68.7
2011-01-24 21:00:00,49.61
2011-01-24 22:00:00,29.57
2011-01-24 23:00:00,24.18
2011-01-25 00:00:00,8.24
2011-01-25 01:00:00,3.79
2011-01-25 02:00:00,2.56
2011-01-25 04:00:00,2.08
2011-01-25 05:00:00,10.17
2011-01-25 06:00:00,48.94
2011-01-25 07:00:00,121.51
2011-01-25 08:00:00,267.06
2011-01-25 09:00:00,185.05
2011-01-25 10:00:00,78.56
2011-01-25 11:00:00,88.13
2011-01-25 12:00:00,96.35
2011-01-25 13:00:00,87.5
2011-01-25 14:00:00,107.2
2011-01-25 15:00:00,113.04
2011-01-25 16:00:00,138.41
2011-01-25 17:00:00,245.81
2011-01-25 18:00:00,215.31
2011-01-25 19:00:00,159.88
2011-01-25 20:00:00,96.4
2011-01-25 21:00:00,67.05
2011-01-25 22:00:00,44.72
2011-01-25 23:00:00,25.98
2011-01-26 00:00:00,10.84
2011-01-26 01:00:00,5.42
2011-01-26 02:00:00,4.04
2011-01-26 05:00:00,5.38
2011-01-26 06:00:00,63.36
2011-01-26 07:00:00,110
2011-01-26 08:00:00,269.98
2011-01-26 09:00:00,145.15
2011-01-26 10:00:00,54.81
2011-01-26 11:00:00,43.77
2011-01-26 12:00:00,44.03
2011-01-26 13:00:00,42.14
2011-01-26 14:00:00,39.35
2011-01-26 15:00:00,43.14
2011-01-26 16:00:00,69.92
2011-01-26 17:00:00,144.81
2011-01-27 16:00:00,83.14
2011-01-27 17:00:00,156.72
2011-01-27 18:00:00,148.94
2011-01-27 19:00:00,107.63
2011-01-27 20:00:00,82.15
2011-01-27 21:00:00,55.63
2011-01-27 22:00:00,46.39
2011-01-27 23:00:00,26.94
2011-01-28 00:00:00,17.26
2011-01-28 01:00:00,6.49
2011-01-28 02:00:00,3.82
2011-01-28 03:00:00,2.58
2011-01-28 05:00:00,14.47
2011-01-28 06:00:00,67.22
2011-01-28 07:00:00,149.99
2011-01-28 08:00:00,316.04
2011-01-28 09:00:00,176.72
2011-01-28 10:00:00,58.23
2011-01-28 11:00:00,54.75
2011-01-28 12:00:00,57.92
2011-01-28 13:00:00,57.68
2011-01-28 14:00:00,65.69
2011-01-28 15:00:00,63.79
2011-01-28 16:00:00,83.44
2011-01-28 17:00:00,155.43
2011-01-28 18:00:00,156.63
2011-01-28 19:00:00,135.86
2011-01-28 20:00:00,96.99
2011-01-28 21:00:00,49.05
2011-01-28 22:00:00,55.52
2011-01-28 23:00:00,37.26
2011-01-29 00:00:00,28.65
2011-01-29 01:00:00,23.7
2011-01-29 02:00:00,20.49
2011-01-29 03:00:00,13.4
2011-01-29 04:00:00,3.78
2011-01-29 06:00:00,4.1
2011-01-29 07:00:00,15.26
2011-01-29 08:00:00,36.33
2011-01-29 09:00:00,51.12
2011-01-29 10:00:00,83.11
2011-01-29 11:00:00,78.68
2011-01-29 12:00:00,96.49
2011-01-29 13:00:00,124.21
2011-01-29 14:00:00,115.45
2011-01-29 15:00:00,150.42
2011-01-29 16:00:00,164.98
2011-01-29 17:00:00,120.26
2011-01-29 18:00:00,114.44
2011-01-29 19:00:00,100.6
2011-01-29 20:00:00,66.04
2011-01-29 21:00:00,52.4
2011-01-29 22:00:00,44.85
2011-01-29 23:00:00,26.33
2011-01-30 00:00:00,40.69
2011-01-30 01:00:00,31.2
2011-01-30 02:00:00,26.73
2011-01-30 03:00:00,19.09
2011-01-30 04:00:00,6.9
2011-01-30 05:00:00,6.29
2011-01-30 07:00:00,11.02
2011-01-30 08:00:00,28.7
2011-01-30 09:00:00,71.42
2011-01-30 10:00:00,116.03
2011-01-30 11:00:00,151.27
2011-01-30 12:00:00,194.9
2011-01-30 13:00:00,198.27
2011-01-30 14:00:00,207.31
2011-01-30 15:00:00,191.34
2011-01-30 16:00:00,181.81
2011-01-30 17:00:00,112.12
2011-01-30 18:00:00,95.71
2011-01-30 19:00:00,78.43
2011-01-30 20:00:00,78.66
2011-01-30 21:00:00,49.74
2011-01-30 22:00:00,43.74
2011-01-30 23:00:00,26.75
2011-01-31 00:00:00,14.75
2011-01-31 01:00:00,4.63
2011-01-31 02:00:00,3.29
2011-01-31 03:00:00,2.99
2011-01-31 04:00:00,2.9
2011-01-31 05:00:00,5.9
2011-01-31 06:00:00,58.52
2011-01-31 07:00:00,145.77
2011-01-31 08:00:00,247.76
2011-01-31 09:00:00,111.05
2011-01-31 10:00:00,45.56
2011-01-31 11:00:00,46.64
2011-01-31 12:00:00,60.06
2011-01-31 13:00:00,65.16
2011-01-31 14:00:00,52.96
2011-01-31 15:00:00,56.04
2011-01-31 16:00:00,90.07
2011-01-31 17:00:00,145
2011-01-31 18:00:00,133.94
2011-01-31 19:00:00,163.26
2011-01-31 20:00:00,72.66
2011-01-31 21:00:00,38.12
2011-01-31 22:00:00,39.97
2011-01-31 23:00:00,19.7
2011-02-20 00:00:00,51.52
2011-02-20 01:00:00,43.17
2011-02-20 02:00:00,36.18
2011-02-20 03:00:00,20.83
2011-02-20 04:00:00,3.67
2011-02-20 06:00:00,5.66
2011-02-20 07:00:00,18.37
2011-02-20 08:00:00,40.45
2011-02-20 09:00:00,60.78
2011-02-20 10:00:00,167.1
2011-02-20 11:00:00,197.89
2011-02-20 12:00:00,209.16
2011-02-20 13:00:00,210.67
2011-02-20 14:00:00,236.62
2011-02-20 15:00:00,238.91
2011-02-20 16:00:00,232.57
2011-02-20 17:00:00,178.2
2011-02-20 18:00:00,151.82
2011-02-20 19:00:00,135.64
2011-02-20 20:00:00,105.72
2011-02-20 21:00:00,83.97
2011-02-20 22:00:00,66.5
2011-02-20 23:00:00,42.41
2011-02-21 00:00:00,42.3
2011-02-21 01:00:00,32.75
2011-02-21 02:00:00,20.47
2011-02-21 03:00:00,5.99
2011-02-21 04:00:00,4.31
2011-02-21 05:00:00,13.25
2011-02-21 06:00:00,25.78
2011-02-21 07:00:00,209.85
2011-02-21 08:00:00,126.06
2011-02-21 09:00:00,144.17
2011-02-21 10:00:00,137.87
2011-02-21 11:00:00,155.34
2011-02-21 12:00:00,154.66
2011-02-21 13:00:00,127.37
2011-02-21 14:00:00,136.47
2011-02-21 15:00:00,163.87
2011-02-21 16:00:00,158.76
2011-02-21 17:00:00,152.41
2011-02-21 18:00:00,143.46
2011-02-21 19:00:00,135.79
2011-02-21 20:00:00,89.9
2011-02-21 21:00:00,64.22
2011-02-21 22:00:00,55.19
2011-02-21 23:00:00,23.44
2011-02-22 06:00:00,47.96
2011-02-22 07:00:00,133.89
2011-02-22 08:00:00,247.36
2011-02-22 09:00:00,119.34
2011-02-22 10:00:00,59.08
2011-02-22 11:00:00,75.41
2011-02-22 12:00:00,74.47
2011-02-22 13:00:00,81.6
2011-02-22 14:00:00,75.31
2011-02-22 15:00:00,94.51
2011-02-22 16:00:00,78.92
2011-02-22 17:00:00,146.59
2011-02-22 18:00:00,151.83
2011-02-22 19:00:00,110.94
2011-02-22 20:00:00,85.66
2011-02-22 21:00:00,54.09
2011-02-22 22:00:00,41.43
2011-02-22 23:00:00,27.73
2011-02-23 00:00:00,10.39
2011-02-23 01:00:00,6.39
2011-02-23 02:00:00,2.52
2011-02-23 03:00:00,1.38
2011-02-23 05:00:00,6.91
2011-02-23 06:00:00,36.91
2011-02-23 07:00:00,102.95
2011-02-23 08:00:00,252.51
2011-02-23 09:00:00,161.99
2011-02-23 10:00:00,79.17
2011-02-23 11:00:00,105.96
2011-02-23 12:00:00,88.84
2011-02-23 13:00:00,104.26
2011-02-23 14:00:00,102.16
2011-02-23 15:00:00,120.05
2011-02-23 16:00:00,138.26
2011-02-23 17:00:00,298.91
2011-02-23 18:00:00,238.98
2011-02-23 19:00:00,198.16
2011-02-23 20:00:00,100.44
2011-02-23 21:00:00,60.43
2011-02-23 22:00:00,51.43
2011-02-23 23:00:00,28.94
2011-02-24 00:00:00,15.37
2011-02-24 01:00:00,5.78
2011-02-24 02:00:00,2.24
2011-02-24 03:00:00,1.53
2011-02-24 05:00:00,14.81
